pc_time,time_utc,lat,lon,fix_quality,num_sat,hdop,pdop,vdop,altitude_m,avg_cn0,min_cn0,max_cn0,cn0_std,sat_count_gsv,low_cn0_sat_count,low_elev_sat_count,speed_mps,course_deg,gst_rms_m,sigma_lat_m,sigma_lon_m,sigma_alt_m
2026-05-23 17:41:13.189,084112.00,36.62484083333333,127.45749083333334,2,12,0.59,0.99,0.79,74.0,34.27,11.0,45.0,8.12,82,9,12,0.003611111111111111,,,,,
2026-05-23 17:41:14.191,084113.00,36.624840666666664,127.45749066666667,2,12,0.59,0.99,0.79,74.0,34.24,11.0,45.0,8.13,83,9,12,0.004166666666666667,,,,,
2026-05-23 17:41:15.190,084114.00,36.624840666666664,127.45749066666667,2,12,0.59,0.99,0.79,73.9,34.25,12.0,46.0,8.05,83,9,12,0.003333333333333333,,,,,
2026-05-23 17:41:16.190,084115.00,36.624840666666664,127.4574905,2,12,0.59,0.99,0.79,73.9,34.48,10.0,45.0,7.85,83,8,12,0.005555555555555556,,,,,
2026-05-23 17:41:17.176,084116.00,36.62484083333333,127.45748999999999,2,12,0.59,0.99,0.79,73.8,34.5,8.0,46.0,7.82,83,7,12,0.002777777777777778,,,,,
2026-05-23 17:41:18.174,084117.00,36.624840999999996,127.45748933333334,2,12,0.59,0.99,0.79,73.7,34.41,9.0,45.0,7.8,83,8,12,0.005555555555555556,,,,,
2026-05-23 17:41:19.188,084118.00,36.62484083333333,127.45748950000001,2,12,0.59,0.99,0.79,73.7,34.27,11.0,45.0,7.76,83,8,12,0.011111111111111112,,,,,
2026-05-23 17:41:20.196,084119.00,36.62484083333333,127.45748950000001,2,12,0.59,0.99,0.79,73.6,34.3,9.0,45.0,7.97,83,9,12,0.0019444444444444444,,,,,
2026-05-23 17:41:21.161,084120.00,36.62484083333333,127.45748950000001,2,12,0.59,0.99,0.79,73.6,34.15,10.0,45.0,8.03,83,9,12,0.004722222222222222,,,,,
2026-05-23 17:41:22.175,084121.00,36.62484083333333,127.45748966666666,2,12,0.59,0.99,0.79,73.6,34.09,9.0,45.0,7.98,83,9,12,0.0030555555555555553,,,,,
2026-05-23 17:41:23.160,084122.00,36.624840666666664,127.45748950000001,2,12,0.59,0.99,0.79,73.5,34.62,11.0,45.0,7.51,81,8,12,0.006388888888888888,,,,,
2026-05-23 17:41:24.159,084123.00,36.624840666666664,127.45748950000001,2,12,0.59,0.99,0.79,73.5,34.54,5.0,45.0,7.85,81,8,12,0.003333333333333333,,,,,
2026-05-23 17:41:25.144,084124.00,36.624840666666664,127.45748933333334,2,12,0.59,0.99,0.79,73.5,34.42,10.0,45.0,7.77,81,8,12,0.0024999999999999996,,,,,
2026-05-23 17:41:26.143,084125.00,36.624840666666664,127.45748916666668,2,12,0.59,0.99,0.79,73.5,34.2,7.0,45.0,8.07,82,9,12,0.012499999999999999,,,,,
2026-05-23 17:41:27.143,084126.00,36.624840666666664,127.45748899999998,2,12,0.59,0.99,0.79,73.4,34.09,7.0,45.0,8.16,82,9,12,0.001388888888888889,,,,,
2026-05-23 17:41:28.146,084127.00,36.624840666666664,127.45748883333333,2,12,0.59,0.99,0.79,73.4,33.97,9.0,45.0,8.1,82,10,12,0.0061111111111111106,,,,,
2026-05-23 17:41:29.158,084128.00,36.624840666666664,127.45748866666666,2,12,0.59,0.99,0.79,73.3,33.92,9.0,45.0,8.11,82,9,12,0.007222222222222222,,,,,
2026-05-23 17:41:30.161,084129.00,36.62484083333333,127.45748866666666,2,12,0.59,0.99,0.79,73.3,33.86,12.0,45.0,7.96,82,10,12,0.006666666666666666,,,,,
2026-05-23 17:41:31.145,084130.00,36.62484083333333,127.45748866666666,2,12,0.59,0.99,0.79,73.3,33.83,11.0,45.0,8.06,82,10,12,0.004722222222222222,,,,,
2026-05-23 17:41:32.147,084131.00,36.624840666666664,127.4574885,2,12,0.59,0.99,0.79,73.3,33.82,10.0,45.0,7.85,81,9,12,0.006388888888888888,,,,,
2026-05-23 17:41:33.154,084132.00,36.624840666666664,127.45748833333333,2,12,0.56,0.96,0.78,73.3,33.89,12.0,45.0,7.86,81,8,12,0.015555555555555555,,,,,
2026-05-23 17:41:34.158,084133.00,36.62484083333333,127.45748816666668,2,12,0.56,0.96,0.78,73.2,33.94,11.0,45.0,7.83,81,9,12,0.007222222222222222,,,,,
2026-05-23 17:41:35.171,084134.00,36.62484083333333,127.45748800000001,2,12,0.56,0.96,0.78,73.2,33.94,11.0,45.0,7.71,81,9,12,0.003611111111111111,,,,,
2026-05-23 17:41:36.157,084135.00,36.62484083333333,127.45748800000001,2,12,0.58,0.98,0.79,73.2,34.22,9.0,45.0,7.47,80,8,12,0.008611111111111111,,,,,
2026-05-23 17:41:37.172,084136.00,36.624840666666664,127.45748783333332,2,12,0.58,0.98,0.79,73.2,34.17,8.0,45.0,7.46,80,9,12,0.0019444444444444444,,,,,
2026-05-23 17:41:38.173,084137.00,36.624840666666664,127.45748766666665,2,12,0.58,0.98,0.79,73.2,34.31,12.0,45.0,7.32,80,7,12,0.003611111111111111,,,,,
2026-05-23 17:41:39.144,084138.00,36.624840666666664,127.4574875,2,12,0.58,0.98,0.79,73.2,33.89,8.0,45.0,8.05,82,9,12,0.0016666666666666666,,,,,
2026-05-23 17:41:40.142,084139.00,36.624840666666664,127.45748733333333,2,12,0.58,0.98,0.79,73.2,33.92,8.0,45.0,8.14,82,9,12,0.007222222222222222,,,,,
2026-05-23 17:41:41.173,084140.00,36.624840666666664,127.45748733333333,2,12,0.58,0.98,0.79,73.2,34.0,9.0,45.0,8.14,82,9,12,0.006944444444444445,,,,,
2026-05-23 17:41:42.148,084141.00,36.6248405,127.457487,2,12,0.58,0.98,0.79,73.2,33.98,9.0,45.0,8.06,82,9,12,0.01138888888888889,,,,,
2026-05-23 17:41:43.148,084142.00,36.6248405,127.457487,2,12,0.58,0.98,0.79,73.1,34.05,5.0,45.0,8.23,82,9,12,0.008333333333333333,,,,,
2026-05-23 17:41:44.148,084143.00,36.6248405,127.45748666666665,2,12,0.58,0.98,0.79,73.1,34.23,8.0,45.0,7.97,82,9,12,0.002777777777777778,,,,,
2026-05-23 17:41:45.145,084144.00,36.6248405,127.45748666666665,2,12,0.58,0.98,0.79,73.1,34.29,10.0,45.0,7.83,82,8,12,0.006388888888888888,,,,,
2026-05-23 17:41:46.147,084145.00,36.6248405,127.45748633333332,2,12,0.58,0.98,0.79,73.1,34.21,11.0,45.0,7.78,82,8,12,0.008055555555555555,,,,,
2026-05-23 17:41:47.168,084146.00,36.62484033333333,127.45748616666667,2,12,0.58,0.98,0.79,73.1,34.2,9.0,45.0,7.99,82,8,12,0.003333333333333333,,,,,
2026-05-23 17:41:48.155,084147.00,36.62484033333333,127.457486,2,12,0.58,0.98,0.79,73.1,34.15,10.0,45.0,8.04,82,8,12,0.007222222222222222,,,,,
2026-05-23 17:41:49.155,084148.00,36.62484033333333,127.45748566666667,2,12,0.58,0.98,0.79,73.1,34.05,8.0,45.0,8.13,82,9,12,0.008333333333333333,,,,,
2026-05-23 17:41:50.142,084149.00,36.62484033333333,127.45748533333332,2,12,0.58,0.98,0.79,73.1,34.03,8.0,45.0,8.3,82,9,12,0.0038888888888888888,,,,,
2026-05-23 17:41:51.159,084150.00,36.62484033333333,127.45748499999999,2,12,0.58,0.98,0.79,73.1,34.12,7.0,45.0,8.37,82,9,12,0.009444444444444445,,,,,
2026-05-23 17:41:52.162,084151.00,36.624840999999996,127.45748350000001,2,12,0.58,0.98,0.79,72.9,34.38,11.0,46.0,8.09,82,9,12,0.008055555555555555,,,,,
2026-05-23 17:41:53.159,084152.00,36.62484083333333,127.45748299999998,2,12,0.58,0.98,0.79,72.9,34.22,12.0,46.0,8.24,83,10,12,0.0038888888888888888,,,,,
2026-05-23 17:41:54.158,084153.00,36.62484083333333,127.45748266666666,2,12,0.58,0.98,0.79,72.9,34.31,12.0,46.0,8.2,83,10,12,0.003611111111111111,,,,,
2026-05-23 17:41:55.145,084154.00,36.62484083333333,127.45748216666668,2,12,0.58,0.98,0.79,72.9,34.27,8.0,46.0,8.31,83,10,12,0.003611111111111111,,,,,
2026-05-23 17:41:56.145,084155.00,36.624840666666664,127.45748183333332,2,12,0.58,0.98,0.79,72.9,34.53,11.0,45.0,8.01,82,8,12,0.008611111111111111,,,,,
2026-05-23 17:41:57.145,084156.00,36.624840666666664,127.4574815,2,12,0.58,0.98,0.79,72.9,34.62,13.0,45.0,7.86,82,8,12,0.005833333333333334,,,,,
2026-05-23 17:41:58.146,084157.00,36.624840999999996,127.45748016666667,2,12,0.58,0.98,0.79,72.8,34.46,11.0,45.0,8.06,83,9,12,0.0038888888888888888,,,,,
2026-05-23 17:41:59.145,084158.00,36.624840999999996,127.45747966666667,2,12,0.58,0.98,0.79,72.7,34.16,8.0,45.0,8.43,84,10,13,0.0030555555555555553,,,,,
2026-05-23 17:42:00.148,084159.00,36.62484083333333,127.45747933333332,2,12,0.58,0.98,0.79,72.7,34.27,7.0,45.0,8.43,83,10,13,0.008611111111111111,,,,,
2026-05-23 17:42:01.152,084200.00,36.62484116666667,127.457478,2,12,0.58,0.98,0.79,72.6,34.24,12.0,45.0,8.32,83,11,13,0.006666666666666666,,,,,
2026-05-23 17:42:02.167,084201.00,36.62484116666667,127.45747666666666,2,12,0.58,0.98,0.79,72.6,34.21,12.0,45.0,8.26,83,10,13,0.006666666666666666,,,,,
2026-05-23 17:42:03.183,084202.00,36.62484133333333,127.45747566666665,2,12,0.56,0.96,0.78,72.5,34.28,8.0,45.0,8.34,83,9,13,0.010277777777777776,,,,,
2026-05-23 17:42:04.166,084203.00,36.62484133333333,127.45747483333335,2,12,0.58,0.98,0.79,72.4,34.28,10.0,45.0,8.29,83,9,13,0.009722222222222222,,,,,
2026-05-23 17:42:05.182,084204.00,36.62484133333333,127.45747416666667,2,12,0.58,0.98,0.79,72.3,34.34,11.0,45.0,8.21,83,9,13,0.004999999999999999,,,,,
2026-05-23 17:42:06.064,084205.00,36.62484133333333,127.45747383333334,2,12,0.58,0.98,0.79,72.3,34.16,10.0,45.0,8.21,84,10,13,0.004999999999999999,,,,,
